Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,125.624,-105.736,180,top
C2,100nF,C_0603_1608Metric,132.228,-105.736,180,top
C3,100nF,C_0603_1608Metric,159,-139.25,270,top
C4,100nF,C_0603_1608Metric,159,-131.25,270,top
C5,100nF,C_0603_1608Metric,159,-123.25,270,top
C6,100nF,C_0603_1608Metric,159,-115.25,270,top
C7,100nF,C_0603_1608Metric,159,-107.25,270,top
C8,100nF,C_0603_1608Metric,159,-99.25,270,top
C9,100nF,C_0603_1608Metric,159,-91.25,270,top
C10,100nF,C_0603_1608Metric,159,-83.25,270,top
C11,100nF,C_0603_1608Metric,99,-140,270,top
C12,100nF,C_0603_1608Metric,99,-132,270,top
C13,100nF,C_0603_1608Metric,99,-124,270,top
C14,100nF,C_0603_1608Metric,99,-116,270,top
C15,100nF,C_0603_1608Metric,98.75,-107.975,270,top
C16,100nF,C_0603_1608Metric,98.75,-95.975,270,top
C17,100nF,C_0603_1608Metric,121,-124.5,270,top
C18,10uF,C_0603_1608Metric,146.4,-92.2,180,top
C19,10uF,C_0603_1608Metric,142.375,-92.2,0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,125.572,-111.792,270,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,132.328,-111.792,270,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-140.216,270,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-132.088,270,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-123.96,270,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-115.832,270,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-107.704,270,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-99.576,270,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-91.448,270,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,154.834,-83.32,270,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.312,-140.216,270,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.312,-132.098,270,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.312,-123.98,270,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.312,-115.862,270,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.312,-107.744,270,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,103.296,-96,270,top
R1,10K,R_0603_1608Metric,143.25,-129,270,top
R2,10K,R_0603_1608Metric,141.75,-129,270,top
R3,10K,R_0603_1608Metric,118,-129,270,top
R4,10K,R_0603_1608Metric,116.5,-129,270,top
R5,10K,R_0603_1608Metric,115,-129,270,top
